date,open,high,low,close,volume
2023-01-01,15.00,15.50,14.80,15.25,1000000
2023-01-02,15.25,15.80,15.10,15.70,1200000
2023-01-03,15.70,16.00,15.50,15.95,1100000
2023-01-04,15.95,16.20,15.80,16.10,950000
2023-01-05,16.10,16.30,15.90,16.25,1050000
2023-01-06,16.25,16.50,16.00,16.40,1150000
2023-01-07,16.40,16.70,16.20,16.35,1250000
2023-01-08,16.35,16.60,16.10,16.20,1300000
2023-01-09,16.20,16.45,16.05,16.15,1350000
2023-01-10,16.15,16.40,15.95,16.20,1400000
2023-01-11,16.20,16.50,16.00,16.45,1450000
2023-01-12,16.45,16.70,16.25,16.30,1500000
2023-01-13,16.30,16.60,16.10,16.45,1550000
2023-01-14,16.45,16.80,16.25,16.55,1600000
2023-01-15,16.55,16.90,16.30,16.60,1650000
2023-01-16,16.60,17.00,16.40,16.85,1700000
2023-01-17,16.85,17.20,16.70,16.75,1750000
2023-01-18,16.75,17.00,16.55,16.60,1800000
2023-01-19,16.60,16.90,16.45,16.85,1850000
2023-01-20,16.85,17.20,16.70,17.05,1900000
2023-01-21,17.05,17.30,16.85,16.90,1950000
2023-01-22,16.90,17.20,16.75,17.15,2000000
2023-01-23,17.15,17.40,17.00,17.30,2050000
2023-01-24,17.30,17.60,17.15,17.25,2100000
2023-01-25,17.25,17.50,17.05,17.10,2150000
2023-01-26,17.10,17.40,16.95,17.35,2200000
